litters
166875.2129
155466.8105
184983.6699
202319.8164
206259.1523
208411.8379
265736.7207
282287.0176
232225.9316
217133.9355
184276.0498
210767.7012
191248.418
186340.6016
224118.0117
223821.7656
231713.7871
244819.5547
307764.0898
326758.3379
265159.7734
248866.125
215043.625
236482.7344
205688.4961
200367.3398
249035.9023
262518.6992
249195.9414
272193.6719
334441.9609
347689.9824
289987.9316
271296.1895
244961.709
262962.5391
236177.0091
237190.4681
277409.9837
284392.1654
303667.7591
295782.679
374689.5618
398585.1107
325982.3333
304453.4036
273259.5482
303364.431
279997.9622
267392.7142
324231.1126
339574.5775
327426.5951
365319.8001
415490.1654
463183.7337
368707.8704
365269.2376
317173.6712
357061.6224
300819.0013
318927.6556
304678.5111
346731.4876
338201.8118
349288.9915
434830.9935
466283.8001
365098.2786
365035.2865
326389.6849
353288.64
329363.7448
309589.7975
375682.0885
362402.1589
384780.4284
383678.7331
484431.444
497693.7799
417996.9889
389488.9674
340909.1628
397278.0241
363883.1263
346836.4915
385605.3685
410190.9076
398911.2728
429326.4818
504879.6829
524729.5599
423575.0208
404093.4349
381265.806
412086.4349
375188.5039
355076.6641
397951.2363
434852.5
416230.873
440007.9414
550822.2695
540584.4648
448803.0801
431175.7578
389061.1719
428030.332
390509.8171
365550.276
466194.3073
421217.8581
465498.4616
464169.11
588102.0339
592308.9401
497552.5924
471815.7428
425811.3796
465552.8366
431605.278
405046.4303
479437.4792
504671.776
490279.8932
512979.2448
560305.8737
605073.0143
476677.5163
487880.0221
462139.3874
485646.8776
413886.2617
